,Date,news_articles
66,2010-05-17,"With a Kindle Hiring Spree, Amazon Gears Up for Battle With Apple"
67,2010-05-21,Tip of the Week: Getting Apple to Play With Windows
68,2010-05-24,Can Apple’s Jobs Still Wow After Leaks?
69,2010-05-25,Hedge Funds Heart Apple Apple Is Said to Face Inquiry About Online Music
70,2010-05-26,Apple Said to Face Inquiry About Online Music Apple Passes Microsoft as No. 1 in Tech Apple’s Struggle With Political Apps Apple Struggles With Political Apps
71,2010-05-27,Apple and Microsoft's Tug of War
72,2010-05-31,Apple Sells 2 Million iPads Since April Debut
73,2010-06-02,Steve Jobs Muses on All Things Apple
74,2010-06-03,Apple and the Regulators
75,2010-06-04,Apple iPad’s Automotive Infiltration
76,2010-06-07,"Apple Shows Off New iPhone With Better Display Sit Under the Apple Tree With Me, Juice Brand Asks Why Apple’s iBooks Numbers Are Meaningless"
77,2010-06-09,User Accounts on Apple Devices
78,2010-06-13,"Joyce Found Too Graphic, This Time by Apple"
79,2010-06-14,Media Decoder: ‘Ulysses’ a Little Too Graphic for Apple Update: Apple Rethinks Its ‘Ulysses’ Ban
80,2010-06-15,An Apple App to Buy an Apple Phone IPhone 4 Orders Swamp AT&T and Apple Sites
81,2010-06-16,"Apple Gets More Than 600,000 Orders for iPhone 4"
82,2010-06-17,"Orders for the iPhone 4 Top 600,000, Apple Says"
83,2010-06-23,Is Apple a Victim of Sour Grapes?
84,2010-06-24,Class Action Against Apple and AT&T Is Amended
85,2010-06-28,Apple Sells 1.7 Million New iPhones in Three Days Germany Asks Apple About iPhone’s Data-Gathering
86,2010-06-29,Better Health in the Big Apple
87,2010-07-02,Apple Hopes to Re-enter the Living Room Apple Speaks on the Matter of the ‘Death Grip’ Apple Acknowledges Flaw in iPhone Signal Meter
88,2010-07-07,Apple Blocks App Developer
89,2010-07-09,"Opening a Big Store in China, Apple Remains a Market Underdog Chatting With Google: China, Apple and More Apple Still Underdog in China, Despite New Store"
90,2010-07-10,"Maybe One iPad Recipe Begins, ‘Dip Apple in Kraft Caramels’"
91,2010-07-11,"Despite Privacy Inquiries, Germans Flock to Google, Facebook and Apple"
92,2010-07-14,Are Hedge Funds Hoping for an Apple ‘Slingshot’?
93,2010-07-15,"Apple Plans News Conference to Discuss iPhone 4 Apple Plans Briefing on iPhone 4 Bite Apple, Kiss, Sing: How Paradise Was Lost"
94,2010-07-16,Apple Is Not Expected to Recall Troubled iPhone Updates From Apple’s Discussion of iPhone 4 Problem Apple Goes on the Offensive A Field Trip to an Apple Lab
95,2010-07-19,Media Equation: Why Apple Blinked 5 Apples. 60 Seconds. Go.
96,2010-07-20,Einhorn Stocks Up on Apple Apple’s Profit Rises 78% on Appeal of New Devices
97,2010-07-21,"Eyewear, With a Bit of Disney and a Touch of Apple"
98,2010-07-22,Apple’s Web Browser Allows Sites to Collect Personal Information
99,2010-07-23,"A, as in Apple"
100,2010-07-26,"In Ruling on iPhones, Apple Loses a Bit of Its Grip"
101,2010-07-27,Apple Brings (Magic) Multitouch to the Computer Apple Brings (Magic) Multitouch to the Computer
102,2010-07-29,Bits Pics: Looking Inside Apple’s New Trackpad The Appleseed Project: A Call to Arms 
103,2010-07-31,Bitten Apple Acrostic
104,2010-08-02,Appleby’s 59 Easier Than Rodriguez Getting Past 599
105,2010-08-04,German Agency Finds Flaws in Apple’s Mobile Software
106,2010-08-09,Docks for Apple Gadgets Help a Business Thrive
107,2010-08-12,Australia’s Appleby Back at the Scene of the Crime Eat an Apple (Doctor’s Orders)
108,2010-08-16,Apple Hires Expert on Mobile Payments
109,2010-08-23,Apple Patents a Desktop Touch-Screen Computer
110,2010-08-24,Q. & A.: Dealing With Apple App Lemons
111,2010-08-25,Apple Said to Seek Show-Rental Deal Apple Invites News Media to Sept. 1 Event The Apple Guessing Game Commences
112,2010-08-27,"Developer of Tablets Loses Apple as Customer Steve Jobs, Circa 1997, Reintroducing Apple"
113,2010-09-01,"Updates From Apple’s iPod and Apple TV Event From Apple, a Step Into Social Media for Music"
114,2010-09-02,Three Apples of Somebody’s Eye Apple-Facebook Friction Erupts Over Ping
115,2010-09-06,Apple Faces Many Rivals for Streaming to TVs How to Tell if Apple Falters
116,2010-09-09,H.P. Should Take a Page From Apple Apple Lifts Restrictions for App Approvals Apple Gives App Developers Its Review Guidelines
117,2010-09-10,The Baker’s Apprentice: Peach or Apple Pie
118,2010-09-13,Apple Changes Free iPhone 4 Case Program
119,2010-09-15,"Saving Wild Tigers Cheaply, With Apple’s Help?"
120,2010-09-18,Urban Forager | Wild Apples
121,2010-09-23,Big Apple Meat Market
122,2010-09-24,Apple Goes After The Camera Market Too
123,2010-09-27,Study Finds That Apple Dominates Tech News
124,2010-09-28,"By the Numbers: Apple, Microsoft, Dell, H.P. In Apple Wine, a Taste of the Fall Harvest"
125,2010-09-29,Apple Shares Slide as Rumor Mill Strikes Again
126,2010-09-30,Bits Pics: Tearing Apart the New Apple TV
127,2011-02-01,Apple Moves to Tighten Control of App Store
128,2011-02-02,An Apple E-Book Rule Tightens
129,2011-02-04,Goldman’s Buyout Unit Nears Deal for Applebee’s Operator
130,2011-02-05,Apple Patents a Stylus to Reach Students
131,2011-02-07,The Odds of Picking the Next Apple
132,2011-02-10,"Consider an Apple, Consider the World"
133,2011-02-15,Apple Offers Subscriptions for Apps Apple Says Chinese Supplier Made Changes After Suicides
134,2011-02-16,"With Demolition, Apple Chief Makes Way for House 2.0"
135,2011-02-17,Google One Pass vs. Apple iPad Plan Apple Is Weighing a Cheaper iPhone
136,2011-02-22,Apple Said to Showcase New iPad on March 2 Workers Sickened at Apple Supplier in China
137,2011-02-23,Apple Announces an iPad-Related Event
138,2011-02-24,Apple Announces New MacBook Pros
139,2011-02-27,"On Stage and Afterward, Spotlight on Apple in China"
140,2011-02-28,Apple’s Secrecy Doesn’t Serve Corporate Governance
141,2011-03-02,How Not to Rid New York City Schools of Bad Apples Is Apple Losing Its Core?
142,2011-03-03,He Keeps Ancient Apples Fresh and Crisp
143,2011-03-07,"The Temporary Vegetarian: Vegan Roasted Brussels Sprouts, Butternut Squash and Apple With Candied Walnuts"
144,2011-03-09,Apple App Users Compete for Nonvirtual Audi A3
145,2011-03-10,If You Bought Apple Stock Instead of Products
146,2011-03-15,Apple Adds Additional Week to iPad Shipping
147,2011-03-17,Apple or Pear? Maybe Body Shape Doesn’t Matter
148,2011-03-22,Amazon to Open Android App Store as Apple Sues Some Worry That Success of Apple Is Tied to Japan
149,2011-03-23,BlackBerry to Match Apple on the Price of Its Tablet
150,2011-04-02,Microsoft + Nokia = a Challenge for Apple
151,2011-04-08,"Apple Patent Application Shows Second Display Grace Applefeld, William Cleveland IV"
152,2011-04-15,iPad Resellers Now Camp Overnight at Apple Stores
153,2011-04-20,3G Apple iOS Devices Are Storing Users’ Location Data Apple Lifted by Verizon iPhone Deal and Updates of iPad and MacBook
154,2011-04-21,A Shopping List for Apple’s Growing War Chest Inquiries Grow Over Apple’s Data Collection Practices
155,2011-04-26,Apple and Google Use Phone Data to Map the World
156,2011-04-27,Jobs Says Apple Made Mistakes With iPhone Data
157,2011-04-28,Wrapping Up the Apple Location Brouhaha Pogue’s Posts: Wrapping Up the Apple Location Brouhaha Lenovo Aims a Campaign at the Apple Crowd
158,2011-05-04,Apple Updates Software to Fix Problems With Collecting Location Data
159,2011-05-09,Nuance Shares Spike on Talk of Apple Deal
160,2011-05-10,Congress Hears From Apple and Google on Privacy Apple and Google Executives Testify on Mobile Privacy
161,2011-05-21,Apple Is Called Poised to Offer ‘Cloud’ Music
162,2011-05-24,"Explosion at Apple Supplier Caused by Dust, China Says"
163,2011-05-25,Apple Operating System Affected by Malware
164,2011-05-31,Jobs to Unveil Apple’s ‘Next Generation’ Software Why Did Apple Pre-Announce Its Announcement?
165,2011-06-01,"In Unusual Move, Apple Previews New Software Plans Apple Issues Fix to Combat Malware"
166,2011-06-02,Deals Move Apple Closer to Streaming Music
167,2011-06-03,Apple Patents Way to Prevent Concert Piracy
168,2011-06-06,Live Blogging Apple’s iCloud Announcement Which Apps Are Threatened by Apple’s Upgrades? Apple Unveils ‘Cloud’ Music and Storage Service Apple Sounds the PC Death Knell
169,2011-06-07,"Sorting Through Apple’s Many Announcements New Apple Software Treads on Apps, but Developers Remain Untroubled Apple iCloud May Not Be a Threat to Online-Storage Services"
170,2011-06-08,How Apple Can Make Money From Higher-Quality Songs
171,2011-06-09,Apple Will Reject D.U.I. Checkpoint Apps Apple Gives Publishers a Sales Break Apple Will Reject D.U.I. Checkpoint Apps
172,2011-06-14,Nokia Settles 2-Year Fight With Apple on Patents Apple Stores Chief to Take the Helm at J.C. Penney
173,2011-06-15,Apple’s Hype Envelops Penney
174,2011-06-22,Apple’s Final Cut Is Dead. Long Live Final Cut. Apple Removes Intifada App From Store
175,2011-11-01,"Cashew Apples, VW Bugs and Waterfalls in Pirenópolis, Brazil"
176,2011-11-02,Apple Admits Software Bugs Hurting Battery Life in iPhone
177,2011-11-04,Big Apple Circus
178,2011-11-05,Apple Doles Out Stock to Keep Top Executives Pursuing a Piracy Claim Against Apple
179,2011-11-10,Apple Takes iTunes to Other Kinds of Payments Apple’s AssistiveTouch Helps the Disabled Use a Smartphone Q&A: An Apple Software Error on a Windows System
180,2011-11-11,Apple Uses Over-the-Air Software Update
181,2011-11-12,Net Migration: A Bigger Apple
182,2011-11-15,"Once Wary, Apple Warms Up to Business Market Daily Report: Apple Now Wants Your Workplace Apple Makes Changes to Its Board Apple Appoints New Chairman and Elects Disney’s Chief to Board What Are the Best Apples for Apple Pie? What Are the Best Apples for Apple Pie?"
183,2011-11-16,Apple Releases iOS Update With Fix for Battery Drain
184,2011-11-17,Totally Green Apples
185,2011-11-21,"With iPad Boost, Apple Set to Become Top PC Vendor"
186,2011-11-23,Tailgating Recipes: Mini Mile-High Apple Pies Samsung Pokes Fun at Apple in Phone Ad
187,2011-11-25,Using Apple’s Find My Mac Feature A Look at Apple’s Spot-the-Shopper Technology
188,2011-11-29,"Google and Apple Are Both Winners in Mobile Race, Report Says A Hard Cider From an Heirloom Apple"
189,2011-11-30,Apple’s Siri Stumbles Over an Abortion Question
190,2011-12-01,Apple Says Siri’s Abortion Answers Are a Glitch
191,2011-12-02,"Apple, and Planet, Low on Cats"
192,2011-12-07,"Apple Readies New Store in Grand Central For the Big Apple, a Gift That Grows"
193,2011-12-09,Samsung Wins a Round in Patent Fight With Apple Polishing Up Latkes With Apples
194,2011-12-13,"Sweet Potato Soup With Ginger, Leek and Apple"
195,2011-12-18,Apple App Makers on Edge for Holidays
196,2011-12-19,U.S. Backs Apple in Patent Ruling That Hits Google
197,2011-12-20,Daily Report: Apple’s Victory in Patent Ruling Hits Google Miso-and-Apple-Glazed Baked Ham
198,2011-12-21,Microsoft Follows Apple With Victory Against Android
199,2011-12-22,Apple Patents and Audio Gear Galore
200,2011-12-31,The iKnight: Apple’s Jonathan Ive Gets British Honor
201,2012-01-05,"Peruvian Pork Stew With Chilies, Lime and Apples Bacon-and-Apple Quiche With Flaky Pie Crust Apple-Stuffed Pork Loin With Moroccan Spices Pork and Apples"
202,2012-01-09,An Apple a Day
203,2012-01-11,Apple Aims to Take On the Textbook Market Living Up to Apple’s Standards No Holiday Cheer for PC Makers — Except Apple
204,2012-01-12,"In a Test, Target Plans to Add an Apple ‘Store’ Inside 25 Stores"
205,2012-01-13,All iPhone Sales Suspended at Apple Stores in China Video of Skirmishes at Apple Store in Beijing Apple Lists Its Suppliers for 1st Time Beyond Apple Pie
206,2012-01-18,Digital Textbooks From a Company Not Named Apple
207,2012-01-19,Apple Introduces Tools to (Someday) Supplant Print Textbooks
208,2012-01-20,Reading the Fine Print on Apple’s Book-Making Software
209,2012-01-22,Apple And Agglomeration
210,2012-01-23,Charles Duhigg Responds to Readers on Apple and the iEconomy
211,2012-01-24,Apple’s Profit Doubles on Holiday iPhone 4S Sales
212,2012-01-25,Daily Report: Apple’s Profit Soars Apple and Verizon Earnings Underscore the Power of the iPhone
213,2012-01-26,"Poll: Apple Products Poll Finds Consumer Confusion on Where Apple Devices Are Made Who Has Apples at Work? In Many Cases, It’s the Bosses Apple, Electronics and Environmental Ills Macworld Conference Carries On Without Apple"
214,2012-01-27,Apple in China: Has iOrwell Arrived?
215,2012-01-30,"Apple Becomes World’s Biggest Maker of Computers, Thanks to iPad"
216,2012-01-31,Apple Hires an Outsider to Supervise Retail Stores Connecting the Dots: Mapping Apple’s Development and Manufacturing Process
217,2012-02-07,Apple Fights App Makers Who Try to Game the System
218,2012-02-08,How Sonos Outshines Apple in Home Audio
219,2012-02-09,"Apple Stock’s Lofty Heights, in Context Apple May Announce an iPad Upgrade in March One on One: Adam Lashinsky, Author of ‘Inside Apple’"
220,2012-02-10,"Like the Apple Store Nearby, but This One Has Windows"
221,2012-02-13,"Apple Shares Close Above $500, Breaking More Records"
222,2012-02-14,Apple Asks Outside Group to Inspect Factories Critics Question Record of Monitor Selected by Apple Inspections Begin at Chinese Plant Making Apple Products The Breakfast Meeting: Apple Begins Inspections and Lin Scores for MSG Daily Report: Apple Asks Outside Group to Inspect Factories Apple Chief Unveils a New Product: Himself
223,2012-02-15,"Apple Became Top Smartphone Maker in 2011, Gartner Says"
224,2012-02-16,Apple Pie Daily Report: Apple Previews New Mac Operating System Apple’s Mountain Lion Makes the Mac More Like the iPad Apple Aims to Tie the Mac More Tightly to iPad and iPhone
225,2012-02-17,New Apple Operating System Aims to Knit Together Its Products Apple’s New Security Features for the Mac
226,2012-02-22,"Apple Defends Rights to iPad Name in Shanghai Court Daily Report: Apple Defends iPad Name in China Apple, Google and Others in Agreement on App Privacy"
227,2012-02-23,"Apple Plans New Data Center in Oregon Apple Case in Shanghai Is Suspended At Apple Conclave, Nothing but Good News"
228,2012-02-26,New From Apple! The iStove! New From Apple! The iStove! Apple’s Lead in Smartphones Is Not Guaranteed Huawei Takes On Apple and Samsung With the Ascend
229,2012-02-28,Apple Confirms March 7 Event for New iPad Apple Loophole Gives Developers Access to Photos
230,2012-03-01,Applebee’s Picks Crispin Porter as Its New Creative Agency
231,2012-03-05,Apple’s Job Creation Data Spurs an Economic Debate Daily Report: How Many Jobs Has Apple Created?
232,2012-03-06,Apple and Google to Meet With Senator Over Privacy Former Apple Executive Plots Next Wave of Mobile Ads
233,2012-03-07,Dividends Emerge in Pressing Apple Over Working Conditions in China Updates From Apple’s Unveiling of the New iPad Apple Adds Sharper Screen and Speed to New iPad What LTE Means for Apple and the Wireless Industry
234,2012-03-08,There Are Three Kinds of Apple Events Daily Report: Apple Is Facing Warning on Book Prices
235,2012-03-15,"Congress Presses Apple on App Privacy Fiona Apple Returns, Still Enraged and Self-Lacerating Them Apples | Paul Smith Celebrates 25 Years on Fifth Avenue"
236,2012-03-16,"For Apple, Pressure Builds Over App Store Fraud Apple and Google: Redwoods in the Web Garden ‘This American Life’ Retracts Episode on Apple’s Suppliers in China"
237,2012-03-18,Apple Says It Will Announce a Decision About Its Cash
238,2012-03-19,"Apple’s Big Cash Pile: The Odds Are Against a Big Deal Flush With Cash, Apple Plans Buyback and Dividend Apple Elevates Markets, Especially the S.&P. 500 Daily Report: Apple Announces a Dividend Apple Sells 3 Million New iPads in First Weekend"
239,2012-03-22,RIM’s BlackBerry Dethroned by Apple on Its Home Turf Video: Tebow Joins the Big Apple Circus Today’s Scuttlebot: Apple Buyback Math and Pictures of Desolation
240,2012-03-23,Lawmakers Ask Apple App Makers About Privacy
241,2012-03-25,Fiona Apple Performs Fiona Apple Returns to the Faithful
242,2012-03-26,Mike Daisey Apologizes for Falsehoods in Monologue About Apple
243,2012-03-29,"Apple’s Chief Visits iPhone Factory in China The Breakfast Meeting: News Corp. in the News, and Apple’s Chief in China"
244,2012-03-30,"With Tablet Plan, Google Goes After Apple and Amazon"
245,2012-08-01,Design and Drama Mark First Day in Apple-Samsung Trial Apple’s Quiet Deal for AuthenTec
246,2012-08-02,Apple AirPlay and the Window of Obsolescence
247,2012-08-03,Apple’s Schiller Testifies in Smartphone Patent Trial
248,2012-08-05,"Disruptions: At Its Trial, Apple Spills Some Secrets"
249,2012-08-06,Apple Account Break-In Highlights Security Weakness Apple to Remove YouTube App From iPhone and iPad What You Can Do to Better Protect Your Apple Account
250,2012-08-07,"The Breakfast Meeting: Sikh Temple Shooter’s Hate-Filled Music, and the Apple-Google Chill"
251,2012-08-08,Apple Stops Password Resets Over the Phone TimesCast Tech: Apple Freezes Password Changes After Hacking
252,2012-08-16,Judge Urges Apple and Samsung to Settle Their Patent Dispute
253,2012-08-19,"In Apple’s Patent Case, Tech Shifts May Follow"
254,2012-08-20,"Secrets Learned in Apple-Samsung Trial Daily Report: Apple-Samsung Decision Could Have Wide Impact Apple Becomes the Most Valuable Public Company Ever, With an Asterisk"
255,2012-08-21,Business Day Live: Facebook and Apple Why Apple Might be Better Off Losing Its Patent Lawsuit
256,2012-08-24,Jury Awards $1 Billion to Apple in Samsung Patent Case Apple Beats Samsung: First Reactions
257,2012-08-25,Apple-Samsung Case Shows Smartphone as Legal Magnet How the Jury Decided in the Apple-Samsung Patent Case
258,2012-08-27,"Apple Case Muddies the Future of Innovations Daily Report: After Apple-Samsung Verdict, Concern About Innovation Apple Seeks Order Blocking Sale of Samsung Products"
259,2012-08-28,"Samsung Case Puts Apple Closer to Google Fight The Breakfast Meeting: Isaac Still Stealing the Show, and Signs of Apple v. Google Daily Report: Samsung Verdict Puts Apple Closer to Google Fight Business Day Live | Apple's Victory"
260,2012-08-30,"Apples Are Earlier, But Not as Red or Crunchy Apple Rejects App Tracking Drone Strikes"
261,2012-08-31,Tokyo Court Hands Win to Samsung Over Apple
262,2012-09-02,Rivals Jostle Before Apple Announces New iPhone
263,2012-09-04,Apple Confirms Sept. 12 Event Hackers Claim to Have 12 Million Apple Device Records
264,2012-09-05,Apple Denies Giving F.B.I. Device Information
265,2012-09-06,Today’s Scuttlebot:  iPhone 5 Video and Apple TV Delay
266,2012-09-07,"Apple Plans Web Radio Challenge to Pandora Daily Report: Apple Plans a Move Into Streaming Music The Breakfast Meeting: New Amazon Devices, and Apple’s Plans for Digital Radio"
267,2012-09-10,Amazon and Apple’s Giant Markups on Flash Storage Apple as the Last Hope for Growth in Business PCs
268,2012-09-12,The Patent Clues to the Apple iPhone Beyond ‘5’ Updates From the Apple iPhone 5 Event Ask Us Your Questions About Apple’s Announcements Apple Unveils an iPhone That Is Lighter and More Powerful
269,2012-09-13,"Design Thrills Apple’s Partners, but Will Cost Users At Apple Event, With Secrets Spilled, No Surprises Answers to Your Questions About Apple’s iPhone 5"
270,2012-09-17,"Despite Lack of Surprises, Apple Sells 2 Million New iPhones"
271,2012-09-19,Samsung-Apple Fight Moves to Marketing Google Updates Android Maps App as Apple Moves On Samsung Takes More Swipes at Apple in Latest Ad
272,2012-09-20,"Apple’s iPhone Update Leaves Out Google’s Maps Daily Report: Apple Releases Its Mobile Maps, Glitches and All RIM Innovates and Then Waits as Apple Moves Ahead Pandora Keeps Growing, but Apple’s Plans Add to the Uncertainty Today’s Scuttlebot: Bad Apple Maps and Wi-Fi on Planes Apple on Its iOS 6 Maps: Things Can Only Get Better"
273,2012-09-21,Poking Fun at Apple’s New Maps
274,2012-09-22,Has Apple Peaked?
275,2012-09-23,Disruptions: Will Apple Be the First to Break $1 Trillion?
276,2012-09-24,Apple’s Feud With Google Is Now Felt on iPhone Daily Report: Apple’s Feud With Google Is Now on the iPhone Screen Apple Sells Five Million New iPhones
277,2012-09-25,"Apple Maps Errors Send Japanese to Homegrown App Japanese Look for Alternatives to Apple’s Maps Apple’s Competitors Pile On With Map Critiques Efterklang, Tonight at the Apple Store in SoHo"
278,2012-09-28,"Tim Cook Apologizes for Apple’s Maps As Apple’s Maps Stumbles, AOL’s MapQuest Flourishes Apple’s Plans for Internet Radio Run Up Against Big Music Publisher"
279,2012-09-29,Apple Apologizes for Misstep on Maps
280,2012-10-01,"Today’s Scuttlebot: Debate Animations, and Apple’s Taiwanese Network"
281,2012-10-02,"List of Global Brands Keeps Coke on Top, and Apple Jumps Up Today’s Scuttlebot: Browser Wars and the Ultimate Apple Maps Image"
282,2012-10-03,Map Apps to Bypass the Rivalry of Google and Apple
283,2012-10-05,The Shadow of Steve Jobs in Apple’s Maps Push
284,2012-10-06,"With Steve Jobs Tribute, a Home Page Reflects Apple’s Founder Again"
285,2012-10-08,Walkabout — 10/8: An Unending Check In and The Bright Side of Apple Maps
286,2012-10-09,IPhone 5 Shortage Spooks Apple Investors
287,2012-10-10,"Useful New Tools, and Some Diversions, for Apple’s New Phone"
288,2012-10-12,Apple Likely to Introduce Smaller iPad in October Event
289,2012-10-16,Apple Expected to Unveil Smaller iPad Oct. 23 Decoding Apple’s Media Invitation
290,2012-10-23,"Updates From Apple’s Product Event Apple, Facing Competition, Introduces a Smaller iPad"
291,2012-10-24,Apple Has Only One Place to Go: Your Wall U.S. Disavows Patent at Center of Apple-Samsung Dispute Apple Takes On Smaller Tablets TimesCast Media + Tech: Apple’s Smaller Tablets Big Apple Circus
292,2012-10-25,Apple Profit Rises 24% on Sales of iPhone 5
293,2012-10-26,"Daily Report: Apple Has Higher Profit, While Amazon Has a Loss"
294,2012-10-28,Disruptions: You Know You Can’t Live Without Apple’s Latest Glass Rectangle
295,2012-10-29,"Like Apple, Google Now Has Devices That Come in Three Sizes In Shake-Up, Apple’s Mobile Software and Retail Chiefs to Depart"
296,2012-10-30,Daily Report: A Shake-Up at Apple
