,Date,news_articles
54,2014-09-04,Nevada and Tesla Hint at Site of Factory
55,2014-09-05,Nevada a Winner in Tesla’s Battery Contest
56,2014-09-12,"Nevada Woos Tesla Plant in Tax Deal, but Economic Benefits Prompt Debate"
57,2015-02-10,Lurching Start for Tesla in China
58,2015-02-11,Daily Report: Tesla’s Rough Road Into China
59,2015-02-12,"Tesla Motors Met Its Output Goal, but Showed a 4th-Quarter Loss"
60,2015-03-19,Elon Musk Says Self-Driving Tesla Cars Will Be in the U.S. by Summer
61,2015-04-26,"For Jeb Bush Donors, Yoga Mats and Tesla Brochures"
62,2015-04-27,"Apple Earnings, Automaker Results and New Products From Tesla"
63,2015-05-01,Tesla Ventures Into Solar Power Storage for Home and Business Who Is Tesla’s Home Battery For?
64,2015-05-03,Earnings From Tesla; Volkswagen’s Annual Meeting
65,2015-05-07,"Losses Widen at Tesla, but Company Says Production Is on Track "
66,2015-05-13,"With Tesla Entering Market, Hopes for Home Batteries Grow"
67,2015-10-15,Tesla Adds High-Speed Autonomous Driving to Its Bag of Tricks
68,2015-10-20,Consumer Reports Stops Recommending the Tesla 
69,2015-11-04,"Elon Musk Says Never Mind the Hiccups, Tesla Is on Track"
70,2015-12-07,Review: Tesla Quartet Captures Playful Charms of Caroline Shaw
71,2016-01-14,"From Tesla, a New Car Smell That Vegans Can Get Behind"
72,2016-07-01,Daily Report: Tesla Driver Dies in ‘Autopilot’ Accident Tesla Fans Show Off Their Cars Inside the Self-Driving Tesla Fatal Accident
73,2016-07-02,"Joshua Brown, Who Died in Self-Driving Accident, Tested Limits of His Tesla A Fatality Forces Tesla to Confront Its Limits"
74,2016-07-04,Tesla and Google Take Different Roads to Self-Driving Car
75,2016-07-07,U.S. Safety Agency Investigates Another Tesla Crash Involving Autopilot
76,2016-07-10,Fatal Tesla Crash Draws In Transportation Safety Board
77,2016-07-11,Lessons From the Tesla Crash
78,2016-07-12,"Morning Agenda:  S.E.C. Said to Be Investigating Tesla Regulators Ask Tesla About Autopilot As U.S. Investigates Fatal Tesla Crash, Company Defends Autopilot System"
79,2016-07-14,Be Your Own Tesla
80,2016-07-16,"The Tesla Experiment: Drive, It Said"
81,2016-07-21,"Morning Agenda: Tesla’s New Grand Plan Elon Musk’s Tesla Plan: More Models, More Self-Driving"
82,2016-07-24,Elon Musk of Tesla Sticks to Mission Despite Setbacks
83,2016-07-29,"Tesla Faults Brakes, but Not Autopilot, in Fatal Crash"
84,2016-08-01,"Theranos Damage Control, Tesla Earnings and the Jobs Report In Tesla and SolarCity Deal, a Glimpse of Musk’s Clean-Energy Aspirations Tesla-SolarCity Deal Could Distract the Carmaker"
85,2016-08-03,Tesla’s Big Loss Reflects Its Costly Ambitions
86,2016-08-04,"Everyone Despises SolarCity Deal, Except Tesla Shareholders"
87,2016-09-02,Lawyers Burnish Tesla’s Deal for SolarCity
88,2016-09-11,Elon Musk Says Pending Tesla Updates Could Have Prevented Fatal Crash
89,2016-09-14,How Did G.M. Create Tesla’s Dream Car First? Autopilot Cited in Death of Chinese Tesla Driver
90,2016-09-19,A Lesson of Tesla Crashes? Computer Vision Can’t Do It All Yet
91,2016-09-20,How Tesla and Apple Could Be Good for Each Other
92,2016-09-23,Tesla Upgrades Autopilot in Cars on the Road Can Tesla’s Autopilot Be Trusted? Not Always
93,2016-10-20,"Tesla Will Make Its Cars Fully Self-Driving, but Not Turn the System On Yet"
94,2016-10-23,Apple and Tesla to Report Earnings
95,2016-10-27,Tesla Motors Profit Surprises Investors Ahead of Merger Vote
96,2016-11-04,Tesla’s Bid for SolarCity Gets Support From Shareholder Adviser
97,2016-11-08,Silicon Valley Style Puts Gloss on Tesla’s Bid for SolarCity
98,2016-11-14,Teslas in the Trailer Park: A California City Faces Its Housing Squeeze
99,2016-11-17,Tesla and SolarCity Shareholders Approve Merger
100,2016-11-18,"Morning Agenda: Drug Kickback Charges, Unqualified Princelings, Tesla-SolarCity Vote Elon Musk Faces Epic Juggling Act After Tesla-SolarCity Deal"
101,2017-03-17,Tesla’s $1 Billion Cash Raise May Fall Short
102,2017-03-28,Tencent of China Takes 5 Percent Stake in Tesla
103,2017-04-03,Tesla Reports Jump in Vehicle Production but Aims for Much More
104,2017-04-04,"Tesla Passes Ford in Market Value as Investors Bet on the Future Russia, Donald Trump, Tesla: Your Tuesday Briefing"
105,2017-04-06,Tesla Has Something Hotter Than Cars to Sell: Its Story
106,2017-04-10,"Tesla Hits a New Milestone, Passing G.M. in Valuation"
107,2017-04-11,G.M. Takes a Back Seat to Tesla as America’s Most Valued Carmaker Tesla’s Rise on a Wave of Shareholder Optimism
108,2017-04-12,Tesla’s Market Surge Has Even Fans Looking for Feet of Clay
109,2017-05-03,"Tesla, Reporting Bigger Loss, Emphasizes Gains in Production and Sales"
110,2017-06-06,G.M. and Tesla Shareholders Rebuff Dissidents’ Proposals
111,2017-06-22,"Tesla in Talks to Set Up Electric Car Factory in Shanghai James Comey, Tesla, Qatar Airways: Your Morning Briefing"
112,2017-07-03,"Tesla’s First Mass-Market Car, the Model 3, Hits Production This Week CNN, Chris Christie, Tesla: Your Monday Briefing"
113,2017-07-06,Tesla Loses No. 1 Spot in Market Value Among U.S. Automakers
114,2017-07-07,"Tesla to Install World’s Largest Lithium-Ion Battery in Australia. Also: Reactions to North Korea. Connecticut Should Be Tesla Country G-20, Penn Station, Tesla: Your Friday Briefing"
115,2017-07-09,"Mosul, G-20, Tesla: Your Morning Briefing"
116,2017-07-29,"In Pivotal Moment, Tesla Unveils Its First Mass-Market Sedan"
117,2017-12-30,"Tesla the Car Is a Household Name. Long Ago, So Was Nikola Tesla."
118,2018-01-02,What’s on TV Tuesday: ‘Tesla’s Death Ray’ and Near East Relief
119,2018-01-03,Tesla Pushes Back Its Model 3 Targets Again: DealBook Briefing
120,2018-01-04,"Tesla Reports New Setback for Model 3, With Output Lagging"
121,2018-01-11,"Electric Vehicle Tax Credit Survives, but G.M. and Tesla Aren’t Cheering"
122,2018-01-23,Tesla’s Elon Musk May Have Boldest Pay Plan in Corporate History Tesla’s Targets for Elon Musk Would Put His Pay in Orbit
123,2018-02-07,"DealBook Briefing: Tesla’s Mass Market Hopes May Remain Elusive North Korea, Tesla, Taiwan: Your Thursday Briefing Tesla Model 3, Elon Musk’s Grail, Remains a Costly Pursuit"
124,2018-02-12,SpaceX and Tesla Go Into Orbit
125,2018-03-06,"Porsche Positions Itself Against Tesla, on the Road and Beside It"
126,2018-03-29,Tesla Looked Like the Future. Now Some Ask if It Has One.
127,2018-03-31,Tesla Says Crashed Vehicle Had Been on Autopilot Before Fatal Accident Fatal Tesla Crash Raises New Questions About Autopilot System
128,2018-04-02,Elon Musk Makes Light of Tesla’s Troubles in April Fool’s Tweets
129,2018-04-03,"For Tesla, ‘Production Hell’ Looks Like the Reality of the Car Business"
130,2018-04-04,Tesla’s Manufacturing ‘Hell’ Won’t Slow Down Electric Cars
131,2018-04-05,"With Tesla in a Danger Zone, Can Model 3 Carry It to Safety?"
132,2018-04-17,Tesla to Halt Production of Model 3 Cars Temporarily
133,2018-04-20,Tesla Factory Safety Under Scrutiny After Worker Is Injured
134,2018-04-29,He Drove a Tesla on Autopilot From the Passenger Seat. The Court Was Not Amused.
135,2018-09-07,Tesla Shaken by a Departure and What Elon Musk Was Smoking
136,2018-09-09,Tesla Needs to Build Investor Trust. The Exit of Its Accountant Won’t Help.
137,2018-09-17,Betting Against Tesla: Short-Sellers Make Their Case
138,2018-09-18,Justice Department Is Examining Tesla After Musk Comment
139,2018-09-20,Tesla’s Biggest Problem Isn’t Elon Musk
140,2018-09-27,Tesla Chief Elon Musk Is Sued by S.E.C. in Move That Could Oust Him
141,2018-09-28,"Tesla Stock Tumbles Over the S.E.C. Suing Elon Musk: What to Watch Today Elon Musk’s Fans Just Took a Big Hit as Tesla Shares Tank Brett Kavanaugh, Jeff Flake, Tesla: Your Friday Evening Briefing"
142,2018-09-29,Tesla’s Elon Musk Had a Deal From the S.E.C. It Fell Apart in a Morning. Elon Musk Steps Down as Chairman in Deal With S.E.C. Over Tweet About Tesla
143,2018-10-01,"Elon Musk Settled With the S.E.C., but Tesla’s Troubles Aren’t Over How the S.E.C. Is Trying to Push Traditional Corporate Governance Upon Tesla"
144,2018-10-02,"Unraveling a Tesla Mystery: Lots (and Lots) of Parked Cars Tesla Reports Progress on Model 3 Car Production Elon Musk’s Ultimatum to Tesla: Fight the S.E.C., or I Quit"
145,2018-10-11,Why Tesla Could Do Better Than James Murdoch for Chairman
146,2018-10-24,"Tesla Reports a Rare Quarterly Profit, Its Biggest Ever"
147,2018-10-28,Tesla Faces a Challenger in the Home Solar Business
148,2018-10-29,Tesla’s Future Is Not Yet Secured
149,2018-11-08,Tesla Names a Successor to Elon Musk as Board Chief
150,2018-11-15,What Tesla’s ‘Delivery Logistics Hell’ Is Like for Model 3 Buyers
151,2018-11-30,"Menial Tasks, Slurs and Swastikas: Many Black Workers at Tesla Say They Faced Racism G.E., Tesla and Snap Are Under Accounting Investigation. Here’s What They Should Worry About."
152,2018-12-28,Tesla Scrambles to Sell Cars Before a Tax Break Fades Tesla Names Larry Ellison and Kathleen Wilson-Thompson to Its Board
153,2019-01-02,"Tesla Reports Record Output, but Cuts Prices, and Its Shares Plunge"
154,2019-01-18,"Tesla to Cut 3,000 Jobs in Bid to Sell Model 3 to Mass Market"
155,2019-01-30,"Tesla Profit Declines, but Musk Says Cash Position Is Strong"
156,2019-06-03,Can Tesla Ever Be More Than a Niche Automaker? Wall St. Increasingly Thinks No
157,2019-06-10,"Tesla, Facing Setbacks and Skeptics, Tries to Get Back on Course"
158,2019-07-02,"Meet the Man Quietly Building the Tesla of Trucks, With Jeff Bezos Aboard Model 3 Helps Tesla Send Quarterly Deliveries to a Record"
159,2019-07-24,Tesla Loses Less Money as Model 3 Sales Surge
160,2019-08-20,Walmart Says Tesla Solar Panels Set Fires Atop Stores
161,2019-10-02,Tesla’s Record Deliveries Aren’t Enough for Investors
162,2019-10-03,A Police Tesla Nearly Ran Out of Power During a Chase. It Wasn’t the Car’s Fault.
163,2019-10-23,"Tesla Reports Profit for Quarter, Sending Shares Soaring"
164,2020-03-04,G.M. Lays Out Ambitions for Electric-Vehicle Lineup to Rival Tesla
165,2020-03-19,"After Mounting Criticism, Tesla Will Shut Down California Factory"
166,2020-05-01,Elon Musk Says Tesla Share Price Is Too High
167,2020-05-08,Tesla Tells Workers It Will Reopen California Factory Despite County Order
168,2020-05-09,Elon Musk Lashes Out at Officials Keeping Tesla Plant Closed Over Virus
169,2020-05-11,Tesla to Restart Bay Area Factory in Defiance of Local Order
170,2020-05-13,Coronavirus Wrecked Tesla’s Momentum and Elon Musk Is Furious
171,2020-05-19,Tesla Owners Try to Make Sense of Elon Musk’s ‘Red Pill’ Moment
172,2020-07-02,Tesla Shines During the Pandemic as Other Automakers Struggle
173,2020-07-14,German Court Says Tesla Self-Driving Claims Are Misleading
174,2020-07-22,"In Electric Car Market, It’s Tesla and a Jumbled Field of Also-Rans"
175,2020-07-23,Tesla Turns a Profit in a Pandemic-Squeezed Quarter Tesla turned a surprise profit despite a plant shutdown and lower sales.
176,2020-11-17,"Tesla is joining the S&P 500, and that could have investors scrambling to buy its shares."
177,2020-12-18,"Tesla, Profitable at Last, Bulls Its Way Into the S&P 500"
178,2020-12-22,A Race to Become the Tesla of Delivery Trucks and Vans
179,2020-12-24,‘You Checked Tesla the Most’: Robinhood Recaps From a Volatile Year
180,2020-12-31,German Automakers Are Charged Up and Ready to Take on Tesla
181,2021-01-02,"Tesla Says It Hit Goal of Delivering 500,000 Cars in 2020"
182,2021-01-07,"Elon Musk has become the world’s richest person, as Tesla’s stock rallies."
183,2021-01-15,Tesla Might Finally Have Some Competition. From Ford.
184,2021-01-19,The Next Tesla? Investors Bet Big on Electric Truck Maker Rivian
185,2021-01-22,"Tesla’s U.S. sales slowed in 22 states in 2020, partly because of the pandemic."
186,2021-02-02,"Tesla Will Recall 135,000 Cars for Faulty Touch Screens."
187,2021-02-08,"Tesla says it bought $1.5 billion of Bitcoin, sending the cryptocurrency to a record high. Chinese regulators reprimand Tesla over growing complaints about its cars."
188,2021-02-09,Will other companies follow Tesla’s lead and load up on Bitcoin?
189,2021-03-05,Tesla’s Stock Tumbles Amid Sales Worries and Market Volatility
190,2021-03-13,"Hundreds of Tesla workers tested positive for the virus after Elon Musk reopened a plant, data shows."
191,2021-03-15,"Hundreds of Tesla workers tested positive for the virus after Elon Musk reopened a plant, data shows. Volkswagen Aims to Use Its Size to Head Off Tesla"
192,2021-03-23,Tesla’s Autopilot Technology Faces Fresh Scrutiny Regulators are investigating the role of autonomous driving in 23 Tesla crashes.
193,2021-03-24,"Tesla will accept Bitcoin as payment, Elon Musk says."
194,2021-03-25,"Tesla employee’s firing and Elon Musk tweet on union were illegal, labor board rules."
195,2021-08-06,How Biden’s E.V. Plan Could Help Tesla and Squeeze Toyota
196,2021-08-16,U.S. Will Investigate Tesla’s Autopilot System Over Crashes With Emergency Vehicles
197,2021-08-17,‘It Happened So Fast’: Inside a Fatal Tesla Autopilot Accident
198,2021-08-20,"Tesla Sells ‘Full Self-Driving,’ but What Is It Really?"
199,2021-08-22,The Week in Business: Turning Up the Heat on Tesla
200,2021-08-27,The Black Reporter Proved Right By History and a Fatal Tesla Crash: The Week in Narrated Articles
201,2021-09-01,Tesla is ordered to turn over Autopilot data to a federal safety agency.
202,2021-09-16,"Lucid Motors beats Tesla in range, going 520 miles on a charge, the E.P.A. says."
203,2021-10-02,Tesla Reports Record Quarterly Deliveries Amid Chip Scarcity
204,2021-10-04,A safety agency finds no cause to investigate Tesla battery safety.
205,2021-10-05,Jury orders Tesla to pay $137 million to a former worker over racist treatment.
206,2021-10-07,"Tesla Will Move Its Headquarters to Austin, Texas, in Blow to California"
207,2021-10-08,Are Tesla and Texas a Perfect Match? It’s Questionable.
208,2021-10-13,U.S. regulator questions Tesla on the lack of a recall after an update to Autopilot.
209,2021-10-20,Tesla’s quarterly profit nearly quintuples to $1.6 billion as car sales surge.
210,2021-10-21,"N.T.S.B. says Tesla owner was in the driver’s seat in fatal crash, contradicting local officials."
211,2021-10-25,"Tesla Value Tops $1 Trillion After Hertz Orders 100,000 Cars"
212,2021-10-26,Tesla Joins an Exclusive Club
213,2021-11-02,Elon Musk says Tesla has not signed a deal with Hertz yet.
214,2021-11-09,Tesla shares slide 12 percent as Musk’s stock-sale pledge continues to reverberate.
215,2021-11-10,Rivian I.P.O. Is Embraced by Investors Looking for Another Tesla
216,2021-11-11,"Elon Musk sells $5 billion in Tesla shares, partly to cover taxes on stock options."
217,2021-11-16,JPMorgan says Tesla owes it $162 million because of an Elon Musk tweet.
218,2021-11-18,He Helped Build Tesla. Now He’s Gunning for It.
219,2021-11-24,"He’s Steering Volkswagen, With His Eyes on Beating Tesla"
220,2021-11-30,"In China, Tesla Is a Catfish, and Turns Auto Companies Into Sharks"
221,2021-12-06,Inside Tesla as Elon Musk Pushed an Unflinching Vision for Self-Driving Cars
222,2021-12-07,A New Tesla Safety Concern: Drivers Can Play Video Games in Moving Cars
223,2021-12-08,Safety agency says it is looking into Tesla video games that can be played while moving.
224,2021-12-22,U.S. Is Investigating Tesla Feature That Lets Drivers Play Video Games
225,2021-12-23,Tesla agrees to stop letting drivers play video games in moving cars.
226,2021-12-30,Can a Tiny Territory in the South Pacific Power Tesla’s Ambitions? Tesla Recalls Some Sedans Over Two Safety Defects
227,2022-05-06,Why Musk’s Twitter Bid Has Shaken Tesla Investors Tesla will cover transportation costs for employee abortions.
228,2022-05-15,"The Tesla Effect: Snowmobiles, Boats and Mowers Go Electric"
229,2022-05-18,"Sustainability Index Drops Tesla, Prompting Insult from Musk"
230,2022-05-20,Tesla’s Aura Dims as Its Plunging Stock Highlights the Risks It Faces
231,2022-06-03,"Tesla to Cut 10% of Salaried Staff, Musk Tells Employees"
232,2022-06-08,How Safe Are Systems Like Tesla’s Autopilot? No One Knows.
233,2022-06-09,Federal safety agency expands its investigation of Tesla’s Autopilot system.
234,2022-06-12,The Week in Business: Trouble for Tesla?
235,2022-06-15,Tesla Autopilot and Other Driver-Assist Systems Linked to Hundreds of Crashes
236,2022-07-02,Tesla Sales Slow as the Pandemic Hobbles Production
237,2022-07-20,Tesla Profit Falls in Second Quarter as Supply Chain Problems Hurt
238,2022-07-25,Tesla will spend more to increase production at two new factories.
239,2022-08-04,Tesla Prevails Over Most Activist Shareholder Proposals
240,2022-08-06,California Regulator Accuses Tesla of Falsely Advertising Autopilot
241,2022-08-10,Elon Musk sells nearly $7 billion in Tesla shares to finance his Twitter deal.
242,2022-08-18,Can Tesla Data Help Us Understand Car Crashes?
243,2023-02-03,Jury Rules for Elon Musk and Tesla in Investor Lawsuit Over Tweets
244,2023-02-06,Tesla’s Pickup Truck Is Coming Soon. Maybe.
245,2023-02-14,Tesla Workers in Buffalo Begin Union Drive
246,2023-02-15,Tesla Will Open Some Chargers to All Electric Vehicles
247,2023-02-16,"Tesla Fired Buffalo Workers Seeking to Organize, Union Says Tesla to Recall 362,000 Cars With Its ‘Full Self Driving’ System"
248,2023-02-21,Judge Hears Arguments in Suit Over Musk’s Tesla Pay
249,2023-03-01,Tesla Offers a New ‘Master Plan’ but Few Big Revelations
250,2023-03-03,"Tesla Could Start Making Cars in Mexico Next Year, Governor Says"
251,2023-03-04,A 120-Year-Old Company Is Leaving Tesla in the Dust
252,2023-04-02,Tesla Sales Rose in the First Quarter
253,2023-04-03,Jury Says Tesla Must Pay Worker $3.2 Million Over Racist Treatment
254,2023-04-10,Elon Musk Says Tesla Will Build Shanghai Battery Factory
255,2023-04-19,Tesla’s Profit Dropped Sharply in First Quarter as It Cut Prices
256,2023-05-09,"Tesla? Caviar? Boots? At These Resorts, Everything’s Included"
257,2023-05-12,China Orders Tesla to Recall 1.1 Million Vehicles Over Braking Risks
258,2023-05-16,Musk Warns Tesla Shareholders to Expect “Challenging” Year
259,2023-06-08,Tesla Will Open Its Charging Network to G.M.’s Electric Vehicles
260,2023-06-16,There’s No Uber or Lyft. There Is a Communal Tesla.
261,2023-06-27,Tesla May Have Already Won the Charging Wars
262,2023-10-02,Tesla’s Sales Slip as It Readies Factories for New Models
263,2023-10-16,Bill Ford Says U.A.W. Strike Is Helping Tesla and Toyota
264,2023-10-18,Tesla’s Profits Plunge 44% After Big Price Cuts
265,2023-10-23,"Federal Investigators Widen Tesla Inquiry, Company Says"
266,2023-10-30,"Union Victories May Lift Biden, as U.A.W. Targets Tesla and Others"
267,2023-11-05,Job Action Against Tesla Puts Sweden’s Unions in Spotlight
268,2023-11-07,Workers in Sweden Will Expand Strike Against Tesla
269,2023-11-10,Man vs. Musk: A Whistleblower Creates Headaches for Tesla
270,2023-11-17,Unions in Sweden Expand Blockade Against Tesla
271,2023-11-28,Tesla Sues Swedish Transport Agency in Dispute Over License Plates
272,2023-11-30,Pickup or Lunar Lander? Tesla’s Cybertruck Enters a Crowded Market.
273,2023-12-01,Quotation of the Day: Pickup or Lunar Lander? Tesla’s Cybertruck Arrives.
274,2023-12-07,Tesla Is Fighting With Sweden’s Unions. Here’s What to Know.
275,2023-12-13,Tesla Recalls Autopilot Software in 2 Million Vehicles What Car Owners Should Know About the Tesla Autopilot Recall
276,2023-12-27,Tesla Strike Is a Culture Clash: Swedish Labor vs. American Management
